,Angles,Phase,Correction
161,"[0, 120, 117, 0, 180, 38, 177, 174]",0,0
162,"[0, 130, 139, 0, 180, 38, 177, 174]",0,0
163,"[0, 134, 147, 0, 180, 38, 177, 174]",0,0
164,"[1, 137, 147, 0, 179, 37, 177, 174]",0,0
165,"[3, 143, 148, 0, 179, 38, 178, 174]",0,0
166,"[3, 151, 144, 0, 178, 38, 178, 173]",0,0
167,"[4, 157, 146, 0, 178, 38, 178, 173]",0,0
168,"[5, 161, 148, 0, 178, 38, 178, 173]",0,0
169,"[5, 163, 151, 0, 177, 38, 178, 173]",0,0
170,"[6, 163, 154, 0, 177, 38, 177, 173]",0,0
171,"[7, 163, 154, 0, 177, 38, 177, 173]",1,0
172,"[7, 162, 155, 0, 177, 38, 177, 173]",1,0
173,"[7, 162, 156, 0, 177, 38, 176, 173]",1,0
174,"[8, 161, 156, 0, 177, 38, 176, 173]",1,0
175,"[8, 161, 158, 0, 177, 38, 176, 173]",1,0
176,"[8, 160, 160, 0, 176, 38, 176, 173]",1,0
177,"[9, 159, 162, 0, 176, 38, 176, 173]",1,0
178,"[9, 159, 163, 0, 176, 38, 176, 173]",1,0
179,"[9, 159, 163, 0, 175, 38, 176, 173]",1,0
180,"[10, 159, 164, 0, 175, 39, 177, 173]",1,0
181,"[10, 159, 164, 0, 174, 39, 178, 174]",1,0
182,"[10, 159, 164, 0, 174, 39, 178, 174]",1,0
183,"[11, 160, 164, 0, 174, 39, 178, 175]",1,0
184,"[10, 160, 164, 0, 174, 39, 178, 175]",1,0
185,"[10, 160, 163, 0, 174, 39, 178, 175]",1,0
186,"[10, 161, 163, 0, 175, 39, 178, 175]",1,0
187,"[9, 161, 163, 0, 175, 39, 178, 175]",1,0
188,"[9, 162, 163, 0, 175, 39, 178, 175]",1,0
189,"[9, 163, 163, 0, 175, 39, 178, 176]",1,0
190,"[9, 163, 163, 0, 175, 39, 178, 176]",1,0
191,"[8, 164, 163, 0, 175, 39, 178, 176]",1,0
192,"[8, 164, 164, 0, 175, 40, 177, 175]",1,0
193,"[8, 164, 164, 0, 175, 40, 177, 175]",1,0
194,"[8, 165, 164, 0, 175, 40, 177, 175]",1,0
195,"[8, 165, 164, 0, 175, 40, 177, 175]",1,0
196,"[8, 165, 165, 0, 175, 40, 177, 175]",1,0
197,"[8, 165, 165, 0, 175, 40, 177, 175]",1,0
198,"[8, 164, 165, 0, 175, 40, 177, 175]",1,0
199,"[8, 164, 166, 0, 175, 40, 177, 175]",1,0
200,"[8, 163, 166, 0, 175, 39, 178, 175]",1,0
201,"[8, 163, 166, 0, 175, 39, 178, 175]",1,0
202,"[8, 163, 166, 0, 174, 39, 178, 175]",1,0
203,"[8, 162, 166, 0, 174, 39, 178, 175]",1,0
204,"[8, 162, 166, 0, 174, 39, 178, 175]",1,0
205,"[8, 162, 166, 0, 174, 39, 178, 175]",1,0
206,"[8, 162, 165, 0, 174, 39, 178, 175]",1,0
207,"[8, 163, 164, 0, 174, 39, 177, 175]",1,0
208,"[8, 162, 162, 0, 175, 39, 177, 175]",1,0
209,"[8, 161, 160, 0, 175, 39, 177, 175]",1,0
210,"[8, 161, 160, 0, 175, 39, 177, 176]",1,0
211,"[8, 164, 159, 0, 177, 39, 176, 177]",1,0
212,"[7, 164, 159, 0, 178, 39, 176, 177]",1,0
213,"[8, 162, 158, 0, 178, 38, 176, 177]",1,0
214,"[7, 162, 158, 0, 179, 38, 176, 178]",1,0
215,"[7, 162, 157, 0, 180, 38, 176, 178]",1,0
216,"[7, 161, 155, 0, 180, 38, 176, 178]",0,0
