,Angles,Phase,Correction
79,"[2, 12, 11, 0, 179, 13, 179, 178]",,Widen your legs
80,"[1, 13, 12, 0, 179, 13, 179, 178]",,Widen your legs
81,"[1, 13, 13, 0, 179, 13, 179, 178]",,Widen your legs
82,"[1, 14, 15, 0, 179, 13, 179, 178]",,Widen your legs
83,"[1, 15, 17, 0, 179, 13, 179, 178]",,Widen your legs
84,"[1, 16, 17, 0, 179, 13, 179, 178]",,Widen your legs
85,"[0, 18, 19, 0, 179, 13, 179, 178]",,Widen your legs
86,"[0, 22, 24, 0, 179, 13, 179, 179]",,Widen your legs
87,"[0, 27, 39, 0, 179, 13, 179, 179]",,Widen your legs
88,"[0, 33, 49, 0, 180, 13, 179, 179]",,Widen your legs
89,"[0, 50, 73, 0, 180, 13, 179, 179]",,Widen your legs
90,"[0, 82, 106, 0, 180, 13, 179, 180]",,Widen your legs
91,"[0, 131, 132, 0, 179, 13, 179, 180]",,Widen your legs
92,"[0, 161, 150, 0, 179, 13, 179, 180]",,Widen your legs
93,"[0, 167, 158, 0, 179, 13, 179, 180]",,Widen your legs
94,"[0, 169, 165, 0, 180, 13, 179, 179]",,Widen your legs
95,"[0, 170, 165, 0, 180, 13, 179, 179]",,Widen your legs
96,"[1, 170, 168, 0, 180, 13, 179, 179]",,Widen your legs
97,"[1, 170, 170, 0, 180, 13, 179, 179]",,Widen your legs
98,"[1, 172, 171, 0, 180, 13, 179, 179]",,Widen your legs
99,"[1, 172, 172, 0, 180, 13, 179, 179]",,Widen your legs
100,"[1, 172, 172, 0, 180, 13, 179, 179]",,Widen your legs
101,"[1, 172, 173, 0, 180, 13, 179, 179]",,Widen your legs
102,"[1, 172, 173, 0, 179, 13, 179, 179]",,Widen your legs
103,"[2, 171, 174, 0, 179, 13, 179, 179]",,Widen your legs
104,"[2, 171, 174, 0, 179, 13, 179, 179]",,Widen your legs
105,"[2, 171, 173, 0, 179, 13, 179, 178]",,Widen your legs
