,Angles,Phase,Correction
178,"[52, 174, 178, 0, 156, 3, 161, 171]",,Widen your legs
179,"[52, 174, 178, 0, 156, 3, 161, 171]",,Widen your legs
180,"[52, 174, 178, 0, 156, 3, 161, 171]",,Widen your legs
181,"[52, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
182,"[52, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
183,"[52, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
184,"[52, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
185,"[52, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
186,"[52, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
187,"[52, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
188,"[52, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
189,"[52, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
190,"[53, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
191,"[53, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
192,"[53, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
193,"[53, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
194,"[53, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
195,"[53, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
196,"[53, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
197,"[53, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
198,"[53, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
199,"[53, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
200,"[53, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
201,"[53, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
202,"[53, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
203,"[54, 174, 178, 0, 156, 3, 160, 171]",,Widen your legs
204,"[54, 174, 179, 0, 156, 3, 160, 171]",,Widen your legs
205,"[54, 174, 179, 0, 156, 3, 160, 171]",,Widen your legs
206,"[54, 174, 179, 0, 156, 3, 160, 171]",,Widen your legs
207,"[54, 174, 179, 0, 156, 3, 160, 171]",,Widen your legs
208,"[54, 174, 179, 0, 156, 3, 160, 171]",,Widen your legs
209,"[54, 174, 179, 0, 156, 3, 160, 170]",,Widen your legs
210,"[54, 174, 179, 0, 156, 3, 160, 170]",,Widen your legs
211,"[54, 174, 179, 0, 156, 3, 160, 170]",,Widen your legs
212,"[54, 174, 179, 0, 156, 3, 160, 170]",,Widen your legs
213,"[54, 174, 179, 0, 156, 3, 160, 170]",,Widen your legs
214,"[54, 174, 178, 0, 156, 3, 160, 170]",,Widen your legs
215,"[54, 174, 179, 0, 156, 3, 160, 170]",,Widen your legs
216,"[54, 174, 178, 0, 156, 3, 160, 170]",,Widen your legs
217,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
218,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
219,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
220,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
221,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
222,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
223,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
224,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
225,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
226,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
227,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
228,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
229,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
230,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
231,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
232,"[54, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
233,"[55, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
234,"[55, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
235,"[55, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
236,"[55, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
237,"[55, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
238,"[55, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
239,"[55, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
240,"[55, 173, 178, 0, 156, 3, 159, 169]",,Widen your legs
241,"[55, 173, 178, 0, 156, 3, 159, 169]",,Widen your legs
242,"[55, 173, 178, 0, 156, 3, 159, 169]",,Widen your legs
243,"[55, 173, 178, 0, 156, 3, 159, 169]",,Widen your legs
244,"[55, 173, 178, 0, 156, 3, 159, 169]",,Widen your legs
245,"[55, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
246,"[55, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
247,"[55, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
248,"[55, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
249,"[55, 173, 178, 0, 156, 3, 159, 169]",,Widen your legs
250,"[55, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
251,"[55, 173, 178, 0, 156, 3, 159, 170]",,Widen your legs
252,"[55, 172, 178, 0, 156, 3, 159, 170]",,Widen your legs
253,"[55, 172, 178, 0, 156, 3, 160, 170]",,Widen your legs
254,"[55, 172, 178, 0, 156, 3, 160, 170]",,Widen your legs
255,"[55, 172, 178, 0, 156, 3, 160, 170]",,Widen your legs
